End Date,Avg Sales
"2024-04-02","15483.2027273409"
"2024-04-02","16110.2678469006"
"2024-04-02","17004.4090140428"
"2024-04-02","17629.5305248475"
"2024-04-02","22109.0453151398"
"2024-04-02","48447.717152512"
"2024-04-02","66961.2119711109"
"2024-04-02","187501.181186339"
"2024-04-02","304858.818238189"
"2024-04-02","315893.996457173"
"2024-04-02","325230.061802868"
"2024-04-02","335794.638233422"
"2024-04-02","385477.815656685"
"2024-04-02","716200.078013221"
"2024-04-02","754557.002349099"
"2024-04-02","1670934.76908842"
"2024-04-02","3196350.79257865"
"2024-06-18","22712.4296875"
"2024-07-07","6979994.22923463"
"2024-09-17","275.904648321764"
"2024-09-17","1752.6132633777"
"2024-09-17","2026.13564040406"
"2024-09-17","4106.65734942905"
"2024-09-17","5560.29744474431"
"2024-09-17","5832.94939690145"
"2024-09-17","6959.37546862193"
"2024-09-17","17788.1011489679"
"2024-09-17","19152.3448073587"
"2024-09-17","31820.1262338956"
"2024-09-17","32709.342882952"
"2024-09-17","42589.0368069314"
"2024-09-17","63764.3261885041"
"2024-09-17","86873.6223886771"
"2024-09-17","99894.5979049639"
"2024-09-17","99926.0644405244"
"2024-09-17","105618.839869926"
"2024-09-17","113111.925421656"
"2024-09-17","135035.032212797"
"2024-09-17","193756.478518363"
"2024-09-17","220375.0915767"
"2024-09-17","285310.908860089"
"2024-09-17","298465.916460147"
"2024-09-17","331029.125798738"
"2024-09-17","451411.568088486"
"2024-09-17","625064.739204349"
"2024-09-17","650064.473200002"
"2024-09-17","712867.675740347"
"2024-09-17","779706.313584155"
"2024-09-17","904414.467382595"
"2024-09-17","2821848.00200968"
"2025-01-01","606334.043392181"
"2025-05-06","142616.5"
"2025-05-06","540165.5"
